why_peer_learning,count
I DiD not know this was even a thing,1
didnt know about it,1
grr,1
not interested,1
I was not able to attend the sessions due to my schedule.,1
i dont know what that is,1
I was not aware that there was chemistry peer learning in MS3974.,1
"Scheduling issues, I chose to study with my friends",1
I did not know that this was available.,1
I did not go because I was already keeping up with the material on my own and did not feel like I needed extra help.,1
I was not able to be there,1
I don't know what this is,1
Didn't realize that was an option.,1
I did not attend this specific peer learning. I did however attend the facilitated peer learning offered through AAP in Campbell Hall.,1
I did not know that this was an option / available resource,1
I find self-study to be more time efficient.,1
"I was unaware of it, because I was not looking for help.",1
I was unaware of these sessions.,1
I did not know this resource was available.,1
I thought peer learning was only for people in AAP,1
i didn't struggle a lot with the material/practice problems we were provided,1
Couldn't find a time in my schedule,1
Not needed.,1
I just did not have time to attend.,1
I have not heard of the Chemistry peer learning in room MS3974,1
I felt that studying on my own was more worth my time since it's a lot of memorization.,1
My current performance in the class was adequate enough to not warrant me to seek extra help.,1
I was not aware that peer learning was being offered.,1
i did not know that was a thing,1
I didn’t know what it was,1
I just never fund the time to go.,1
I just never found the time to go.,1
I did not attend because I did not know it was available to us.,1
did not know it was an available resource,1
I didn't have time to do it,1
I had class conflicts,1
I didn't feel a need to.,1
I did not know about it and feel like I don't need to.,1
"I did not know about it, but also feel like I don't need it.",1
I was unaware there was Chemistry peeer learning in room MS 3974.,1
I like to receive extra help in guiding my stidying sometimes I miss a concept or didn't grasp it entirely and with peer learning I know we go over everything in lecture and they provide extra practice problems as well so more study material!,1
"I think I just happened to make plans with a study group at the time, so I chose the group over the peer learning environment.",1
Sessions were held at times that I was not available.,1
I did not feel the need for it this quarter.,1
I did not feel the need for it.,1
I attended PLF sessions for this class 2 times a week instead.,1
I attended PLF sessions for this course 2 times a week instead.,1
It was outside of my usual availability.,1
My other class has time conflict with it,1
My other classes have time conflict with it,1
I never had the time in my daily schedule.,1
Peer learning did not fit into my schedule,1
"Do not know what it is, nor did I know it existed.",1
"I was unaware of it, but also uninterested.",1
time didn't work with my schedule,1
I forgot about it,1
I didnt have time,1
